Name,RSSFeedURL,Category,SourceURL,articles,author,publication_name,title,article_url,cover_img_url
Techcrunch,https://techcrunch.com/mobile/feed/,Laptops/mobiles,https://techcrunch.com/,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Techcrunch,https://techcrunch.com/startups/feed/,Startup,https://techcrunch.com/,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/android/,Laptops/mobiles,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/cloud/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/mobile/,Laptops/mobiles,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/internet-of-things/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/start-ups/,Startup,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech Talksick,https://techtalksick.com/feed/,Technology,https://techtalksick.com/,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Hackaday,https://hackaday.com/blog/feed/,Technology,https://hackaday.com/,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/internet/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/digital-media/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/innovation/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/internet-of-things/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
Tech republic,https://www.techrepublic.com/rssfeeds/topic/tech-and-work/,Technology,https://www.techrepublic.com,object.rss.channel.item,obect.rss.channel.item[n].creator.__cdata,rss.channel.title,rss.channel.item[n].title,rss.channel.item[n].link,not found
