Name,RSSFeedURL,Parent Category,Category,SourceURL,
feedburner,https://feeds.feedburner.com/digit/latest-mobile-phones,Laptops/mobiles,mobile,https://feeds.feedburner.com,
techxplore,https://techxplore.com/rss-feed/breaking/hardware-news/,Technology,hardware,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/internet-news/,Technology,internet,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/software-news/,Technology,software,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/robotics-news/,Technology,robotics,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/semiconductors-news/,Technology,semiconductors,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/computer-sciences-news/,Technology,computer-sciences,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/engineering-news/,Technology,engineering,https://techxplore.com,
techxplore,https://techxplore.com/rss-feed/machine-learning-ai-news/,Technology,machine-learning-ai,https://techxplore.com,
Wired,https://www.wired.com/feed/tag/ai/latest/rss,Technology,Artificial Intelligence,https://www.wired.com/,
Mashable,https://mashable.com/feeds/rss/tech,Technology,,https://mashable.com/,
Mashable,https://mashable.com/feeds/rss/mobile,Laptops/mobiles,,https://mashable.com/,
Mashable,https://mashable.com/feeds/rss/android,Laptops/mobiles,android,https://mashable.com/,
Mashable,https://mashable.com/feeds/rss/entertainment,entertainment,,https://mashable.com/,
The next web,https://thenextweb.com/feed/tech,Technology,,https://thenextweb.com/,
The next web,https://thenextweb.com/feed/fintech,Technology,fintrech,https://thenextweb.com/,
The next web,https://thenextweb.com/feed/data-security,Technology,data and security,https://thenextweb.com/,
The next web,https://thenextweb.com/feed/startup,Startup,,https://thenextweb.com/,
